season,week,regime,exact_match,jaccard,margin,slack,n_eliminated,n_active
11,10,percent,True,1.0,0.0,0.0,3,3
12,2,percent,True,1.0,0.11298623565182676,0.0,1,11
12,3,percent,True,1.0,0.14400538578851577,0.0,1,10
12,4,percent,True,1.0,0.13469058894224661,0.0,1,9
12,5,percent,True,1.0,0.155768330420831,0.0,1,8
12,6,percent,True,1.0,0.19035581131370646,0.0,1,7
12,7,percent,True,1.0,0.20559004950484036,0.0,1,6
12,8,percent,True,1.0,0.24910938238501862,0.0,1,5
12,9,percent,True,1.0,0.3778103977822507,0.0,1,4
12,10,percent,True,1.0,0.0,0.0,3,3
13,1,percent,True,1.0,0.11084479730004648,0.0,1,12
13,2,percent,True,1.0,0.09599057977272352,0.0,1,11
13,3,percent,True,1.0,0.10909394854657176,0.0,1,10
13,4,percent,True,1.0,0.13651079497775326,0.0,1,9
13,5,percent,True,1.0,0.1697285702031237,0.0,1,8
13,6,percent,True,1.0,0.19892194186117468,0.0,1,7
13,7,percent,True,1.0,0.20699719903286268,0.0,1,6
13,8,percent,True,1.0,0.286935712334728,0.0,1,5
13,9,percent,True,1.0,0.3771236162559489,0.0,1,4
13,10,percent,True,1.0,0.0,0.0,3,3
14,2,percent,True,1.0,0.11233846351900283,0.0,1,12
14,3,percent,True,1.0,0.10552981343044208,0.0,1,11
14,4,percent,True,1.0,0.1216433902518189,0.0,1,10
14,5,percent,True,1.0,0.1539620448021924,0.0,1,9
14,6,percent,True,1.0,0.17873619641853106,0.0,1,8
14,7,percent,True,1.0,0.17083775846236982,0.0,1,7
14,8,percent,True,1.0,0.24486384057796604,0.0,2,6
14,9,percent,True,1.0,0.324245172823099,0.0,1,4
14,10,percent,True,1.0,0.0,0.0,3,3
15,1,percent,True,1.0,0.09967336551854979,0.0,1,13
15,2,percent,True,1.0,0.09228279533567185,0.0,1,12
15,3,percent,True,1.0,0.11051396268547091,0.0,2,11
15,4,percent,True,1.0,0.13752366114359385,0.0,1,9
15,6,percent,True,1.0,0.13386251223076376,0.0,1,8
15,8,percent,True,1.0,0.197798942252429,0.0,2,7
15,9,percent,True,1.0,0.32755662722397183,0.0,2,5
15,10,percent,True,1.0,0.0,0.0,3,3
16,3,percent,True,1.0,0.12892559742337584,0.0,1,11
16,4,percent,True,1.0,0.1322826535464065,0.0,1,10
16,5,percent,True,1.0,0.15230447975798975,0.0,1,9
16,6,percent,True,1.0,0.16407671532576287,0.0,1,8
16,7,percent,True,1.0,0.22463340464884488,0.0,1,7
16,8,percent,True,1.0,0.2371625174707629,0.0,1,6
16,9,percent,True,1.0,0.27341580539044297,0.0,1,5
16,10,percent,True,1.0,0.0,0.0,4,4
17,2,percent,True,1.0,0.10726525942258536,0.0,1,12
17,3,percent,True,1.0,0.12996758182296037,0.0,1,11
17,4,percent,True,1.0,0.13738828450238538,0.0,1,10
17,5,percent,True,1.0,0.11557973444522629,0.0,1,9
17,7,percent,True,1.0,0.14611233186268519,0.0,1,8
17,8,percent,True,1.0,0.16884076570827633,0.0,1,7
17,9,percent,True,1.0,0.1859779407255836,0.0,1,6
17,10,percent,True,1.0,0.2663005208890831,0.0,1,5
17,11,percent,True,1.0,0.0,0.0,4,4
18,2,percent,True,1.0,0.10447084152580864,0.0,1,11
18,5,percent,True,1.0,0.1306073070409218,0.0,1,9
18,6,percent,True,1.0,0.155689153734627,0.0,1,8
18,7,percent,True,1.0,0.18098300513650087,0.0,1,7
18,8,percent,True,1.0,0.19804012215188907,0.0,1,6
18,9,percent,True,1.0,0.2508358730914937,0.0,1,5
18,10,percent,True,1.0,0.0,0.0,4,4
19,1,percent,True,1.0,0.1016462316867344,0.0,1,13
19,2,percent,True,1.0,0.09684653307033986,0.0,1,12
19,3,percent,True,1.0,0.11852633683482769,0.0,1,11
19,4,percent,True,1.0,0.12079623242489643,0.0,1,10
19,6,percent,True,1.0,0.126736249803436,0.0,1,9
19,7,percent,True,1.0,0.15483132211284528,0.0,1,8
19,8,percent,True,1.0,0.2144709348224885,0.0,1,7
19,9,percent,True,1.0,0.20283504907348163,0.0,1,6
19,10,percent,True,1.0,0.2873530425988211,0.0,1,5
19,11,percent,True,1.0,0.0,0.0,4,4
20,2,percent,True,1.0,0.08365683205406084,0.0,1,12
20,3,percent,True,1.0,0.1219356242397403,0.0,1,11
20,4,percent,True,1.0,0.11915998896342868,0.0,1,10
20,5,percent,True,1.0,0.13795497011384733,0.0,1,9
20,6,percent,True,1.0,0.14823822072188403,0.0,1,8
20,7,percent,True,1.0,0.15380269488518752,0.0,1,7
20,8,percent,True,1.0,0.27260294372906285,0.0,2,6
20,9,percent,True,1.0,0.32635284655968566,0.0,1,4
20,10,percent,True,1.0,0.0,0.0,3,3
21,2,percent,True,1.0,0.10172537700592837,0.0,2,13
21,4,percent,True,1.0,0.14601722334329517,0.0,1,10
21,6,percent,True,1.0,0.16310114290023636,0.0,1,9
21,7,percent,True,1.0,0.1408052933294429,0.0,1,8
21,8,percent,True,1.0,0.18850486976853298,0.0,1,7
21,9,percent,True,1.0,0.18083837542233172,0.0,1,6
21,11,percent,True,1.0,0.0,0.0,4,4
22,2,percent,True,1.0,0.12089652976353585,0.0,1,12
22,3,percent,True,1.0,0.11618567823833947,0.0,1,11
22,4,percent,True,1.0,0.12397070257380753,0.0,1,10
22,6,percent,True,1.0,0.1456994803679027,0.0,1,9
22,7,percent,True,1.0,0.1711940699441742,0.0,2,8
22,8,percent,True,1.0,0.1866052186318153,0.0,1,6
22,9,percent,True,1.0,0.31829983409520113,0.0,2,5
22,10,percent,True,1.0,0.0,0.0,3,3
23,2,percent,True,1.0,0.09221443089892167,0.0,1,13
23,3,percent,True,1.0,0.10412451455423999,0.0,1,12
23,4,percent,True,1.0,0.11636066355965886,0.0,2,11
23,6,percent,True,1.0,0.14628320508406817,0.0,1,9
23,7,percent,True,1.0,0.14858719905107282,0.0,1,8
23,8,percent,True,1.0,0.18160201865270623,0.0,1,7
23,9,percent,True,1.0,0.209401398513444,0.0,1,6
23,10,percent,True,1.0,0.24375308211573238,0.0,1,5
23,11,percent,True,1.0,0.0,0.0,4,4
24,2,percent,True,1.0,0.10801555839216478,0.0,1,12
24,3,percent,True,1.0,0.11566076768741873,0.0,1,11
24,4,percent,True,1.0,0.1265006442802597,0.0,1,10
24,5,percent,True,1.0,0.13115931314586576,0.0,1,9
24,6,percent,True,1.0,0.12831429641404163,0.0,1,8
24,7,percent,True,1.0,0.20179370811610856,0.0,2,7
24,8,percent,True,1.0,0.290750235485351,0.0,1,5
24,9,percent,True,1.0,0.31361742121749064,0.0,1,4
24,10,percent,True,1.0,0.0,0.0,3,3
25,2,percent,True,1.0,0.09418750319392599,0.0,2,13
25,4,percent,True,1.0,0.10631748234681,0.0,1,11
25,5,percent,True,1.0,0.11958756798653303,0.0,1,10
25,6,percent,True,1.0,0.1539213894321653,0.0,1,9
25,7,percent,True,1.0,0.16793258309661852,0.0,2,8
25,8,percent,True,1.0,0.2039860189824837,0.0,1,6
25,9,percent,True,1.0,0.2400330738923964,0.0,1,5
25,10,percent,True,1.0,0.0,0.0,4,4
26,1,percent,True,1.0,0.1370632367256499,0.0,2,10
26,2,percent,True,1.0,0.16211673553152997,0.0,2,8
26,3,percent,True,1.0,0.3324064303333881,0.0,3,6
26,4,percent,True,1.0,0.0,0.0,3,3
27,1,percent,True,1.0,0.09147658044296124,0.0,1,13
27,2,percent,True,1.0,0.10650794863187757,0.0,1,12
27,3,percent,True,1.0,0.10993329057588637,0.0,1,11
27,4,percent,True,1.0,0.09690015253536835,0.0,1,10
27,6,percent,True,1.0,0.13137867351544658,0.0,1,9
27,7,percent,True,1.0,0.16785382769715915,0.0,2,8
27,8,percent,True,1.0,0.2226571489369445,0.0,2,6
27,9,percent,True,1.0,0.0,0.0,4,4
28,2,bottom2,True,1.0,3.0,0.0,1,12
28,4,bottom2,True,1.0,1.0,0.0,1,10
28,6,bottom2,False,0.0,3.0,0.0,1,9
28,7,bottom2,True,1.0,1.0,0.0,1,8
28,8,bottom2,True,1.0,1.0,0.0,1,7
28,9,bottom2,True,1.0,0.0,0.0,1,6
28,10,bottom2,True,1.0,0.0,0.0,1,5
29,2,bottom2,True,1.0,1.0,0.0,1,15
29,3,bottom2,True,1.0,1.0,0.0,1,14
29,4,bottom2,True,1.0,0.0,0.0,1,13
29,5,bottom2,True,1.0,1.0,0.0,1,12
29,6,bottom2,True,1.0,3.0,0.0,1,11
29,7,bottom2,True,1.0,1.0,0.0,1,10
29,8,bottom2,True,1.0,0.0,0.0,1,8
29,9,bottom2,True,1.0,0.0,0.0,1,7
29,10,bottom2,True,1.0,3.0,0.0,2,6
30,2,bottom2,True,1.0,1.0,0.0,1,15
30,3,bottom2,False,0.0,3.0,0.0,1,14
30,4,bottom2,True,1.0,13.0,0.0,2,13
30,5,bottom2,False,0.0,2.0,0.0,1,11
30,6,bottom2,True,1.0,1.0,0.0,1,10
30,7,bottom2,True,1.0,0.0,0.0,1,9
30,8,bottom2,True,1.0,6.0,0.0,2,8
30,9,bottom2,True,1.0,2.0,0.0,2,6
31,1,bottom2,True,1.0,0.0,0.0,1,16
31,2,bottom2,True,1.0,3.0,0.0,1,15
31,3,bottom2,True,1.0,0.0,0.0,1,14
31,4,bottom2,True,1.0,0.0,0.0,1,13
31,5,bottom2,True,1.0,0.0,0.0,1,12
31,6,bottom2,True,1.0,0.0,0.0,1,10
31,7,bottom2,True,1.0,0.0,0.0,1,9
31,8,bottom2,True,1.0,8.0,0.0,2,8
31,9,bottom2,True,1.0,6.0,0.0,2,6
32,1,bottom2,True,1.0,0.0,0.0,1,14
32,2,bottom2,False,0.0,2.0,0.0,1,13
32,3,bottom2,True,1.0,1.0,0.0,1,12
32,4,bottom2,False,0.0,1.0,0.0,1,11
32,5,bottom2,True,1.0,0.0,0.0,1,10
32,6,bottom2,False,0.0,1.0,0.0,1,9
32,7,bottom2,False,0.0,3.0,0.0,1,8
32,8,bottom2,True,1.0,0.0,0.0,1,7
32,9,bottom2,True,1.0,1.0,0.0,1,6
33,2,bottom2,True,1.0,8.0,0.0,2,13
33,3,bottom2,True,1.0,11.0,0.0,2,11
33,4,bottom2,False,0.0,1.0,0.0,1,9
33,5,bottom2,True,1.0,1.0,0.0,1,8
33,6,bottom2,False,0.0,2.0,0.0,1,7
33,7,bottom2,True,1.0,1.0,0.0,1,6
34,2,bottom2,True,1.0,11.0,0.0,2,14
34,3,bottom2,True,1.0,3.0,0.0,1,12
34,4,bottom2,False,0.0,2.0,0.0,1,11
34,6,bottom2,True,1.0,3.0,0.0,1,10
34,7,bottom2,True,1.0,1.0,0.0,1,9
34,8,bottom2,True,1.0,0.0,0.0,1,8
34,9,bottom2,True,1.0,1.0,0.0,1,7
34,10,bottom2,False,0.0,1.0,0.0,1,6
