season,regime,csr,avg_certainty
1,rank,0.3333333333333333,0.9406004940667617
2,rank,0.8571428571428571,0.8846703880504819
3,percent,1.0,0.9702623882253725
4,percent,1.0,0.9692307593273047
5,percent,1.0,0.9652708850244199
6,percent,1.0,0.9726300579252882
7,percent,1.0,0.9741727489606173
8,percent,1.0,0.9679281137146939
9,percent,1.0,0.9688743849689576
10,percent,1.0,0.9719207797367575
11,percent,1.0,0.9740051617920952
12,percent,1.0,0.9706066399229543
13,percent,1.0,0.9700755038321692
14,percent,1.0,0.9786769124986728
15,percent,1.0,0.9846646427966592
16,percent,1.0,0.9757540755788282
17,percent,1.0,0.9765382803755117
18,percent,1.0,0.9802512979608087
19,percent,1.0,0.9749493354319455
20,percent,1.0,0.9788549701101483
21,percent,1.0,0.9749242345911753
22,percent,1.0,0.9824909243793196
23,percent,1.0,0.9742463738120487
24,percent,1.0,0.9833445817349298
25,percent,1.0,0.9728114605747875
26,percent,1.0,0.985415302555114
27,percent,1.0,0.9686865741326931
28,bottom2,0.8571428571428571,0.8450700857844267
29,bottom2,1.0,0.8048789924507274
30,bottom2,0.75,0.8149802714537768
31,bottom2,1.0,0.8414826066249717
32,bottom2,0.5555555555555556,0.8442555549692194
33,bottom2,0.5,0.8069998832054891
34,bottom2,0.75,0.7924369100933123
