season,week,celebrity_name,mean,std,cv,certainty,ci_low,ci_high,regime
1,1,John O'Hurley,0.056040370363354665,6.938893903907228e-18,1.2381955827409445e-16,0.9999999999999998,0.05604037036335466,0.05604037036335466,rank
1,1,Kelly Monaco,0.2511555153551438,5.551115123125783e-17,2.2102302293765228e-16,0.9999999999999998,0.25115551535514374,0.25115551535514374,rank
1,1,Evander Holyfield,0.4140854404196782,5.551115123125783e-17,1.3405723991405475e-16,0.9999999999999998,0.41408544041967815,0.41408544041967815,rank
1,1,Rachel Hunter,0.09239495063597587,1.3877787807814457e-17,1.5020071673062677e-16,0.9999999999999998,0.09239495063597589,0.09239495063597589,rank
1,1,Joey McIntyre,0.1523335204188218,2.7755575615628914e-17,1.822026796158748e-16,0.9999999999999998,0.15233352041882178,0.15233352041882178,rank
1,1,Trista Sutter,0.03399020280702581,0.0,0.0,1.0,0.03399020280702581,0.03399020280702581,rank
1,2,John O'Hurley,0.056040370363354665,6.938893903907228e-18,1.2381955827409445e-16,0.9999999999999998,0.05604037036335466,0.05604037036335466,rank
1,2,Kelly Monaco,0.2511555153551438,5.551115123125783e-17,2.2102302293765228e-16,0.9999999999999998,0.25115551535514374,0.25115551535514374,rank
1,2,Evander Holyfield,0.4140854404196782,5.551115123125783e-17,1.3405723991405475e-16,0.9999999999999998,0.41408544041967815,0.41408544041967815,rank
1,2,Rachel Hunter,0.09239495063597587,1.3877787807814457e-17,1.5020071673062677e-16,0.9999999999999998,0.09239495063597589,0.09239495063597589,rank
1,2,Joey McIntyre,0.1523335204188218,2.7755575615628914e-17,1.822026796158748e-16,0.9999999999999998,0.15233352041882178,0.15233352041882178,rank
1,2,Trista Sutter,0.03399020280702581,0.0,0.0,1.0,0.03399020280702581,0.03399020280702581,rank
1,3,John O'Hurley,0.1576935563815933,0.0,0.0,1.0,0.1576935563815933,0.1576935563815933,rank
1,3,Kelly Monaco,0.42022238837124276,0.03675920680611319,0.08747560297439104,0.9195608593561698,0.3401075545149628,0.42865552877716695,rank
1,3,Evander Holyfield,0.05801221739799787,6.938893903907228e-18,1.1961090637688166e-16,0.9999999999999998,0.058012217397997876,0.058012217397997876,rank
