season,celebrity,dancer,ccvi,satisfaction,discrepancy
1,-6.724829603605011,8.333333333333332,18.0,0.20291986247835697,5.233333333333333
2,4.860990082879214,119.11320754716982,86.8,0.3129069907613229,5.939285714285714
3,26.030251058870554,152.26921464279957,89.89999999999999,0.23854214911071148,11.1
4,28.650114266004913,257.444412191582,94.5,0.587180674734059,8.975757575757576
5,7.080029411308625,367.8876632801161,123.5,0.48050311881151725,11.773881673881672
6,39.11302702260347,440.83918722786643,75.0,0.7403307312058932,9.121031746031747
7,10.059233089214722,682.2830188679246,72.10000000000001,0.4791551099801899,8.503613053613053
8,104.43355390249975,790.8470569263022,79.0,0.6519436517295992,9.993520368520368
9,-15.415591681548396,674.0520964360587,63.800000000000004,0.4144928209782817,12.148781773781774
10,43.29591069307345,408.82891469117885,99.2,0.8018244037376412,7.4522005772005775
11,73.38934295681167,568.4466537655217,118.0,0.7464973841162387,10.178282828282828
12,67.6485524713796,418.4574866956942,109.7,0.8656058903985899,10.171645021645022
13,59.79926245777456,551.0760522496372,96.6,0.4295881172744393,13.106060606060607
14,152.942120729023,608.960990162877,84.39999999999999,0.7394549559641986,11.755339105339106
15,89.11285664855458,513.5955329785518,66.4,0.48472668102647126,16.021065046065047
16,40.85387627054487,593.1509433962265,58.7,0.8732610908529584,7.304401154401154
17,97.08861436966598,474.3896186099016,48.7,0.8873459471570384,15.10670995670996
18,85.40809303642583,299.26937590711174,68.2,0.6619882462917588,11.625577200577201
19,94.36226485410464,553.314941138526,80.6,0.7734924681537618,11.087357087357088
20,20.791367129640744,523.6033663925173,65.4,0.3737246479645134,12.730158730158731
21,125.85911408680305,513.2245605547491,62.1,0.646418705528501,12.51001221001221
22,93.69661590374474,337.336300596678,51.300000000000004,0.8803035190049984,12.404040404040405
23,175.8089000328758,559.4298177713272,46.9,0.8287419301647448,11.672852147852147
24,75.87777821133226,314.6202991452991,52.3,0.8239640937886785,11.243795093795091
25,118.6391868299169,469.65353572004506,38.3,0.6908748097388785,14.416064491064489
26,-24.705824159331286,192.6232905982906,19.2,0.6581842704746153,2.2
27,27.999973551929042,462.6057151223486,44.3,0.8590999039863695,13.997707847707847
28,106.92773088118594,405.13854044321266,40.4,0.521139683250959,26.184920634920633
29,93.89655162199448,730.0900509393199,32.5,0.4000661320993194,32.05715118215118
30,122.99828750798268,639.5916821535396,38.8,0.138320833793122,27.883755133755137
31,65.10052502068578,742.8607898474074,23.099999999999998,0.5587977290225724,27.37066544566545
32,115.37067186748918,733.0027129347158,42.5,0.524476820556118,32.54973637473638
33,61.51422826002116,853.71991836308,60.0,0.15260327241863142,21.316608391608394
34,83.6141537464971,541.5623876185589,123.7,0.3289091925521418,30.831024531024532
