regime,seasons,n_contestants_weeks,n_eliminations,rank_rule_correct_pct,pct_rule_correct_pct
rank,1-2,78,10,90.0,80.0
percent,3-27,1997,222,70.27027027027027,73.87387387387388
bottom2,28-34,702,65,78.46153846153847,80.0
