regime,weeks,agreement_rate,rank_accuracy,pct_accuracy,avg_delta_fan_disagree,fan_favored_by_rank,fan_favored_by_pct
Bottom-2 Era (S28-34),73,0.8082191780821918,0.8305084745762712,0.8813559322033898,0.03843136859175141,2,12
Percent Era (S3-27),248,0.6935483870967742,0.5485436893203883,0.6359223300970874,0.0006276506100589788,35,41
Rank Era (S1-2),14,0.7857142857142857,0.6,0.8,0.07221606216623128,0,3
