week,bottom2,percent,rank,overall
1,1.0,1.0,1.0,1.0
2,0.8571428571428571,1.0,1.0,0.9705882352941176
3,1.0,1.0,0.5,0.9705882352941176
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,0.8571428571428571,1.0,0.0,0.9375
9,0.8571428571428571,0.9583333333333334,,0.9354838709677419
10,0.6666666666666666,0.5217391304347826,,0.5517241379310345
11,0.25,0.8,,0.5555555555555556
