season,n_weeks,optimal_lambda,baseline_benefit,optimal_benefit,improvement_pct,opt_celebrity,opt_dancer,opt_ccvi,opt_satisfaction,opt_discrepancy
1,6,0.4,0.2151944749492303,0.41281924275348747,91.83542832634608,-2.927438356236567,11.11111111111111,18.0,0.9276336570439175,5.233333333333333
2,8,0.3,0.45984019344869087,0.6094343121349912,32.531762298632586,10.433349522164605,118.01886792452831,86.8,0.8528249356043897,5.939285714285714
3,10,0.1,0.43981086034070116,0.5830027702237911,32.55761119044804,57.73861633631646,173.57890662796322,89.89999999999999,0.6469265075610514,11.1
4,10,0.4,0.5750105961729997,0.6661645199791165,15.852564181041975,44.11450707824837,300.011901306241,94.5,0.8519384289712437,8.975757575757576
5,10,0.1,0.6019449601463807,0.7001214956363638,16.309885785256622,31.818651156196164,420.62409288824387,123.5,0.7324125278121587,11.773881673881672
6,10,0.1,0.5917307684760928,0.6319851515843027,6.802820683446714,62.129888464618354,398.276923076923,75.0,0.8239640937886785,9.121031746031747
7,10,0.1,0.5174120941481364,0.5712793179839784,10.410893839760082,33.4946613621768,688.5239477503629,72.10000000000001,0.5905865309058155,8.503613053613053
8,11,0.1,0.6802884823380178,0.6977552286617789,2.5675499111393645,116.6177896170357,798.3547492339945,79.0,0.6685184903328941,9.993520368520368
9,10,0.1,0.4261849881955205,0.49648799925327114,16.495890987483076,-10.160626830641894,738.9300516045801,63.800000000000004,0.629415024448502,12.148781773781774
10,10,0.1,0.6882183976768528,0.7136332233267781,3.692843105577466,63.07472793777062,343.78189001773904,99.2,0.8519384289712437,7.4522005772005775
11,10,0.3,0.7577366479777249,0.8057752158656432,6.339744555859261,87.94262481777925,597.4928076116755,118.0,0.8591762345488786,10.178282828282828
12,10,0.1,0.7425586267129207,0.7664186792884355,3.2132213830894347,67.4714964138575,405.6993670375745,109.7,0.961278120390013,10.171645021645022
13,10,0.3,0.5774760373989745,0.6997108342835942,21.167076894684804,87.16523087891674,622.422641509434,96.6,0.7535398122682787,13.106060606060607
14,10,0.4,0.734240399231713,0.7492781497853476,2.0480690751107664,162.10967807225094,611.095178197065,84.39999999999999,0.7605822404203186,11.755339105339106
15,10,0.2,0.5120798939156258,0.5730076160084541,11.898089110069058,117.40436113247807,387.65735365263663,66.4,0.6630169545074721,16.021065046065047
16,10,0.1,0.6126865012478631,0.6378203081947666,4.102229589800556,44.117575205789365,603.2432510885342,58.7,0.9507278005253983,7.304401154401154
17,11,0.3,0.5786913621038391,0.5858161693800178,1.2311929540949744,106.0675074305451,469.480297532656,48.7,0.8826633501063164,15.10670995670996
18,10,0.1,0.5644378447516896,0.5870463530736789,4.005491221435622,90.91141435565264,316.8188679245283,68.2,0.7183276715080786,11.625577200577201
19,11,0.1,0.6719337378362849,0.6719337378362849,0.0,94.36226485410464,553.314941138526,80.6,0.7734924681537618,11.087357087357088
20,10,0.1,0.4343268703855645,0.6320846402708559,45.53201364440936,73.1118706457763,531.2619537171424,65.4,0.9155156597651983,12.730158730158731
21,11,0.1,0.602794869329031,0.6463425554322626,7.2242960779849295,135.71575419562114,523.8860990162876,62.1,0.7679675219526635,12.51001221001221
22,10,0.1,0.5824052789843113,0.6061758359779664,4.081446005281742,115.60969718214996,353.51469117884216,51.300000000000004,0.8803035190049984,12.404040404040405
23,11,0.1,0.6691406060458186,0.703847525851681,5.18679026385164,178.4400400458354,631.1080228995323,46.9,0.9171410693823175,11.672852147852147
24,10,0.3,0.5573857826595536,0.5910031377704176,6.031254502125888,86.45638929887473,287.0602564102564,52.3,0.9225580879172384,11.243795093795091
25,10,0.1,0.5221996359012331,0.5939163219019654,13.733576408371254,161.8908249601843,465.98622802773735,38.3,0.7995204451413633,14.416064491064489
26,4,0.1,0.36401603754089096,0.36401603754089096,0.0,-24.705824159331286,192.6232905982906,19.2,0.6581842704746153,2.2
27,9,0.3,0.49566405978428996,0.49566405978428996,0.0,27.999973551929042,462.6057151223486,44.3,0.8590999039863695,13.997707847707847
28,11,0.3,0.385970562226254,0.40747288177923213,5.5709739698680965,99.99217414043241,422.8419592466314,40.4,0.6197336773795189,26.184920634920633
29,11,0.1,0.31796371996317757,0.4240487452079975,33.3638772552747,106.38854212779799,782.709769249179,32.5,0.727392967453308,32.05715118215118
30,10,0.1,0.3117790102556483,0.39086637162144455,25.36648034803474,147.40227948464687,715.2402195316546,38.8,0.3098386676965933,27.883755133755137
31,10,0.1,0.33733969470744285,0.33733969470744285,0.0,65.10052502068578,742.8607898474074,23.099999999999998,0.5587977290225724,27.37066544566545
32,11,0.5,0.3980827703688423,0.3980827703688423,0.0,115.37067186748918,733.0027129347158,42.5,0.524476820556118,32.54973637473638
33,9,0.2,0.3830421803481126,0.5507383436125715,43.78007746093521,91.6881994817526,855.9736409686187,60.0,0.6669328201999446,21.316608391608394
34,11,0.4,0.5333328449491694,0.6398945674102894,19.980341257864225,102.02577179865237,489.5431026781471,123.7,0.6822643386047805,30.831024531024532
