Name,Season,Role,Start Date,End Date,Average_Popularity_Score
Derek Hough,16,Professional,2013-03-18,2013-05-21,20.384615384615383
Gleb Savchenko,16,Professional,2013-03-18,2013-05-21,9.723076923076922
Karina Smirnoff,16,Professional,2013-03-18,2013-05-21,21.83076923076923
Kym Johnson,16,Professional,2013-03-18,2013-05-21,17.523076923076925
Lindsay Arnold,16,Professional,2013-03-18,2013-05-21,7.7846153846153845
Mark Ballas,16,Professional,2013-03-18,2013-05-21,20.384615384615383
Peta Murgatroyd,16,Professional,2013-03-18,2013-05-21,26.0
Sharna Burgess,16,Professional,2013-03-18,2013-05-21,
Tony Dovolani,16,Professional,2013-03-18,2013-05-21,
Tristan MacManus,16,Professional,2013-03-18,2013-05-21,
Valentin Chmerkovskiy,16,Professional,2013-03-18,2013-05-21,
Amber Riley,17,Celebrity,2013-09-16,2013-11-26,11.069444444444445
Bill Engvall,17,Celebrity,2013-09-16,2013-11-26,11.791666666666666
Bill Nye,17,Celebrity,2013-09-16,2013-11-26,10.777777777777779
Brant Daugherty,17,Celebrity,2013-09-16,2013-11-26,6.333333333333333
Christina Milian,17,Celebrity,2013-09-16,2013-11-26,8.069444444444445
Corbin Bleu,17,Celebrity,2013-09-16,2013-11-26,17.5
Elizabeth Berkley Lauren,17,Celebrity,2013-09-16,2013-11-26,5.513888888888889
Jack Osbourne,17,Celebrity,2013-09-16,2013-11-26,13.819444444444445
Keyshawn Johnson,17,Celebrity,2013-09-16,2013-11-26,8.097222222222221
Leah Remini,17,Celebrity,2013-09-16,2013-11-26,
"Nicole ""Snooki"" Polizzi",17,Celebrity,2013-09-16,2013-11-26,
Valerie Harper,17,Celebrity,2013-09-16,2013-11-26,6.666666666666667
Cheryl Burke,17,Professional,2013-09-16,2013-11-26,
Derek Hough,17,Professional,2013-09-16,2013-11-26,
Emma Slater,17,Professional,2013-09-16,2013-11-26,
Karina Smirnoff,17,Professional,2013-09-16,2013-11-26,
Mark Ballas,17,Professional,2013-09-16,2013-11-26,
Peta Murgatroyd,17,Professional,2013-09-16,2013-11-26,
Sasha Farber,17,Professional,2013-09-16,2013-11-26,5.486111111111111
Sharna Burgess,17,Professional,2013-09-16,2013-11-26,4.902777777777778
Tony Dovolani,17,Professional,2013-09-16,2013-11-26,7.652777777777778
Tristan MacManus,17,Professional,2013-09-16,2013-11-26,6.458333333333333
Tyne Stecklein,17,Professional,2013-09-16,2013-11-26,6.722222222222222
Valentin Chmerkovskiy,17,Professional,2013-09-16,2013-11-26,10.416666666666666
Amy Purdy,18,Celebrity,2014-03-17,2014-05-20,15.184615384615384
Billy Dee Williams,18,Celebrity,2014-03-17,2014-05-20,7.3076923076923075
Candace Cameron Bure,18,Celebrity,2014-03-17,2014-05-20,12.03076923076923
Charlie White,18,Celebrity,2014-03-17,2014-05-20,18.753846153846155
Cody Simpson,18,Celebrity,2014-03-17,2014-05-20,15.523076923076923
Danica McKellar,18,Celebrity,2014-03-17,2014-05-20,
Diana Nyad,18,Celebrity,2014-03-17,2014-05-20,4.676923076923077
Drew Carey,18,Celebrity,2014-03-17,2014-05-20,10.169230769230769
James Maslow,18,Celebrity,2014-03-17,2014-05-20,
Meryl Davis,18,Celebrity,2014-03-17,2014-05-20,13.738461538461538
NeNe Leakes,18,Celebrity,2014-03-17,2014-05-20,31.907692307692308
Sean Avery,18,Celebrity,2014-03-17,2014-05-20,4.430769230769231
Cheryl Burke,18,Professional,2014-03-17,2014-05-20,16.0
Derek Hough,18,Professional,2014-03-17,2014-05-20,17.415384615384614
Emma Slater,18,Professional,2014-03-17,2014-05-20,6.492307692307692
Henry Byalikov,18,Professional,2014-03-17,2014-05-20,3.3846153846153846
Karina Smirnoff,18,Professional,2014-03-17,2014-05-20,10.646153846153846
Maksim Chmerkoskiy,18,Professional,2014-03-17,2014-05-20,0.0
Mark Ballas,18,Professional,2014-03-17,2014-05-20,9.846153846153847
Peta Murgatroyd,18,Professional,2014-03-17,2014-05-20,16.16923076923077
Sharna Burgess,18,Professional,2014-03-17,2014-05-20,12.03076923076923
Tony Dovolani,18,Professional,2014-03-17,2014-05-20,10.107692307692307
Valentin Chmerkovskiy,18,Professional,2014-03-17,2014-05-20,11.03076923076923
Witney Carson,18,Professional,2014-03-17,2014-05-20,6.676923076923077
Alfonso Ribeiro,19,Celebrity,2014-09-15,2014-11-25,12.11111111111111
Antonio Sabato Jr.,19,Celebrity,2014-09-15,2014-11-25,
Bethany Mota,19,Celebrity,2014-09-15,2014-11-25,
Betsey Johnson,19,Celebrity,2014-09-15,2014-11-25,13.375
Janel Parrish,19,Celebrity,2014-09-15,2014-11-25,18.22222222222222
Jonathan Bennett,19,Celebrity,2014-09-15,2014-11-25,
Lea Thompson,19,Celebrity,2014-09-15,2014-11-25,10.25
Lolo Jones,19,Celebrity,2014-09-15,2014-11-25,5.027777777777778
Michael Waltrip,19,Celebrity,2014-09-15,2014-11-25,10.472222222222221
Randy Couture,19,Celebrity,2014-09-15,2014-11-25,
Sadie Robertson,19,Celebrity,2014-09-15,2014-11-25,20.59722222222222
Tavis Smiley,19,Celebrity,2014-09-15,2014-11-25,6.833333333333333
Tommy Chong,19,Celebrity,2014-09-15,2014-11-25,9.416666666666666
Allison Holker,19,Professional,2014-09-15,2014-11-25,16.916666666666668
Artem Chigvintsev,19,Professional,2014-09-15,2014-11-25,12.541666666666666
Cheryl Burke,19,Professional,2014-09-15,2014-11-25,7.791666666666667
Derek Hough,19,Professional,2014-09-15,2014-11-25,
Emma Slater,19,Professional,2014-09-15,2014-11-25,9.416666666666666
Karina Smirnoff,19,Professional,2014-09-15,2014-11-25,
Keo Motsepe,19,Professional,2014-09-15,2014-11-25,2.8055555555555554
Mark Ballas,19,Professional,2014-09-15,2014-11-25,19.5
Peta Murgatroyd,19,Professional,2014-09-15,2014-11-25,13.958333333333334
Sharna Burgess,19,Professional,2014-09-15,2014-11-25,5.513888888888889
Tony Dovolani,19,Professional,2014-09-15,2014-11-25,6.402777777777778
Valentin Chmerkovskiy,19,Professional,2014-09-15,2014-11-25,
Witney Carson,19,Professional,2014-09-15,2014-11-25,19.09722222222222
Charlotte McKinney,20,Celebrity,2015-03-16,2015-05-19,14.23076923076923
Chris Soules,20,Celebrity,2015-03-16,2015-05-19,
Michael Sam,20,Celebrity,2015-03-16,2015-05-19,18.307692307692307
Nastia Liukin,20,Celebrity,2015-03-16,2015-05-19,
Noah Galloway,20,Celebrity,2015-03-16,2015-05-19,
Patti LaBelle,20,Celebrity,2015-03-16,2015-05-19,9.430769230769231
Redfoo,20,Celebrity,2015-03-16,2015-05-19,4.461538461538462
Riker Lynch,20,Celebrity,2015-03-16,2015-05-19,17.861538461538462
Robert Herjavec,20,Celebrity,2015-03-16,2015-05-19,20.29230769230769
Rumer Willis,20,Celebrity,2015-03-16,2015-05-19,16.6
Suzanne Somers,20,Celebrity,2015-03-16,2015-05-19,9.123076923076923
Willow Shields,20,Celebrity,2015-03-16,2015-05-19,9.907692307692308
Allison Holker,20,Professional,2015-03-16,2015-05-19,23.16923076923077
Artem Chigvintsev,20,Professional,2015-03-16,2015-05-19,12.461538461538462
Derek Hough,20,Professional,2015-03-16,2015-05-19,20.73846153846154
Emma Slater,20,Professional,2015-03-16,2015-05-19,6.538461538461538
Keo Motsepe,20,Professional,2015-03-16,2015-05-19,
Kym Johnson,20,Professional,2015-03-16,2015-05-19,16.246153846153845
Mark Ballas,20,Professional,2015-03-16,2015-05-19,19.723076923076924
Peta Murgatroyd,20,Professional,2015-03-16,2015-05-19,
Sharna Burgess,20,Professional,2015-03-16,2015-05-19,18.70769230769231
Tony Dovolani,20,Professional,2015-03-16,2015-05-19,8.738461538461538
Valentin Chmerkovskiy,20,Professional,2015-03-16,2015-05-19,8.23076923076923
Witney Carson,20,Professional,2015-03-16,2015-05-19,
Alek Skarlatos,21,Celebrity,2015-09-14,2015-11-24,
Alexa PenaVega,21,Celebrity,2015-09-14,2015-11-24,13.51388888888889
Andy Grammer,21,Celebrity,2015-09-14,2015-11-24,
Bindi Irwin,21,Celebrity,2015-09-14,2015-11-24,19.180555555555557
Carlos PenaVega,21,Celebrity,2015-09-14,2015-11-24,
Chaka Khan,21,Celebrity,2015-09-14,2015-11-24,
Gary Busey,21,Celebrity,2015-09-14,2015-11-24,6.430555555555555
Hayes Grier,21,Celebrity,2015-09-14,2015-11-24,
Kim Zolciak-Biermann,21,Celebrity,2015-09-14,2015-11-24,
Nick Carter,21,Celebrity,2015-09-14,2015-11-24,10.805555555555555
Paula Deen,21,Celebrity,2015-09-14,2015-11-24,26.569444444444443
Tamar Braxton,21,Celebrity,2015-09-14,2015-11-24,
Victor Espinoza,21,Celebrity,2015-09-14,2015-11-24,5.236111111111111
Allison Holker,21,Professional,2015-09-14,2015-11-24,6.180555555555555
Anna Trebunskaya,21,Professional,2015-09-14,2015-11-24,4.319444444444445
Derek Hough,21,Professional,2015-09-14,2015-11-24,16.02777777777778
Emma Slater,21,Professional,2015-09-14,2015-11-24,6.513888888888889
Karina Smirnoff,21,Professional,2015-09-14,2015-11-24,6.583333333333333
Keo Motsepe,21,Professional,2015-09-14,2015-11-24,4.208333333333333
Lindsay Arnold,21,Professional,2015-09-14,2015-11-24,16.84722222222222
Louis van Amstel,21,Professional,2015-09-14,2015-11-24,4.708333333333333
Mark Ballas,21,Professional,2015-09-14,2015-11-24,9.305555555555555
Sharna Burgess,21,Professional,2015-09-14,2015-11-24,11.38888888888889
Tony Dovolani,21,Professional,2015-09-14,2015-11-24,4.527777777777778
Valentin Chmerkovskiy,21,Professional,2015-09-14,2015-11-24,8.333333333333334
Witney Carson,21,Professional,2015-09-14,2015-11-24,11.527777777777779
Antonio Brown,22,Celebrity,2016-03-21,2016-05-24,
Doug Flutie,22,Celebrity,2016-03-21,2016-05-24,8.092307692307692
Geraldo Rivera,22,Celebrity,2016-03-21,2016-05-24,7.969230769230769
Ginger Zee,22,Celebrity,2016-03-21,2016-05-24,
Jodie Sweetin,22,Celebrity,2016-03-21,2016-05-24,17.43076923076923
Kim Fields,22,Celebrity,2016-03-21,2016-05-24,11.430769230769231
Marla Maples,22,Celebrity,2016-03-21,2016-05-24,
Mischa Barton,22,Celebrity,2016-03-21,2016-05-24,8.215384615384615
Nyle DiMarco,22,Celebrity,2016-03-21,2016-05-24,17.615384615384617
Paige VanZant,22,Celebrity,2016-03-21,2016-05-24,19.307692307692307
Von Miller,22,Celebrity,2016-03-21,2016-05-24,18.553846153846155
Wanya Morris,22,Celebrity,2016-03-21,2016-05-24,5.615384615384615
Artem Chigvintsev,22,Professional,2016-03-21,2016-05-24,11.446153846153846
Edyta Sliwinska,22,Professional,2016-03-21,2016-05-24,3.830769230769231
Karina Smirnoff,22,Professional,2016-03-21,2016-05-24,8.338461538461539
Keo Motsepe,22,Professional,2016-03-21,2016-05-24,11.246153846153845
Lindsay Arnold,22,Professional,2016-03-21,2016-05-24,11.815384615384616
Mark Ballas,22,Professional,2016-03-21,2016-05-24,6.969230769230769
Peta Murgatroyd,22,Professional,2016-03-21,2016-05-24,14.446153846153846
Sasha Farber,22,Professional,2016-03-21,2016-05-24,9.138461538461538
Sharna Burgess,22,Professional,2016-03-21,2016-05-24,5.4
Tony Dovolani,22,Professional,2016-03-21,2016-05-24,4.507692307692308
Valentin Chmerkovskiy,22,Professional,2016-03-21,2016-05-24,4.3076923076923075
Witney Carson,22,Professional,2016-03-21,2016-05-24,11.615384615384615
Amber Rose,23,Celebrity,2016-09-12,2016-11-22,17.76388888888889
Babyface,23,Celebrity,2016-09-12,2016-11-22,8.402777777777779
Calvin Johnson Jr.,23,Celebrity,2016-09-12,2016-11-22,0.0
Jake T. Austin,23,Celebrity,2016-09-12,2016-11-22,2.5833333333333335
James Hinchcliffe,23,Celebrity,2016-09-12,2016-11-22,11.152777777777779
Jana Kramer,23,Celebrity,2016-09-12,2016-11-22,
Laurie Hernandez,23,Celebrity,2016-09-12,2016-11-22,
Marilu Henner,23,Celebrity,2016-09-12,2016-11-22,11.555555555555555
Maureen McCormick,23,Celebrity,2016-09-12,2016-11-22,
Rick Perry,23,Celebrity,2016-09-12,2016-11-22,7.819444444444445
Ryan Lochte,23,Celebrity,2016-09-12,2016-11-22,3.0555555555555554
Terra Jole,23,Celebrity,2016-09-12,2016-11-22,14.916666666666666
Vanilla Ice,23,Celebrity,2016-09-12,2016-11-22,13.027777777777779
Allison Holker,23,Professional,2016-09-12,2016-11-22,6.611111111111111
Artem Chigvintsev,23,Professional,2016-09-12,2016-11-22,7.194444444444445
Cheryl Burke,23,Professional,2016-09-12,2016-11-22,6.680555555555555
Derek Hough,23,Professional,2016-09-12,2016-11-22,24.51388888888889
Emma Slater,23,Professional,2016-09-12,2016-11-22,3.3055555555555554
Gleb Savchenko,23,Professional,2016-09-12,2016-11-22,11.347222222222221
Jenna Johnson,23,Professional,2016-09-12,2016-11-22,11.291666666666666
Lindsay Arnold,23,Professional,2016-09-12,2016-11-22,11.472222222222221
Maksim Chmerkoskiy,23,Professional,2016-09-12,2016-11-22,
Sasha Farber,23,Professional,2016-09-12,2016-11-22,
Sharna Burgess,23,Professional,2016-09-12,2016-11-22,19.15277777777778
Valentin Chmerkovskiy,23,Professional,2016-09-12,2016-11-22,12.722222222222221
Witney Carson,23,Professional,2016-09-12,2016-11-22,
Bonner Bolton,24,Celebrity,2017-03-20,2017-05-23,
Charo,24,Celebrity,2017-03-20,2017-05-23,4.046153846153846
Chris Kattan,24,Celebrity,2017-03-20,2017-05-23,4.015384615384615
David Ross,24,Celebrity,2017-03-20,2017-05-23,14.092307692307692
Erika Jayne,24,Celebrity,2017-03-20,2017-05-23,12.63076923076923
Heather Morris,24,Celebrity,2017-03-20,2017-05-23,8.123076923076923
Mr. T,24,Celebrity,2017-03-20,2017-05-23,6.107692307692307
Nancy Kerrigan,24,Celebrity,2017-03-20,2017-05-23,
Nick Viall,24,Celebrity,2017-03-20,2017-05-23,18.892307692307693
Normani,24,Celebrity,2017-03-20,2017-05-23,11.046153846153846
Rashad Jennings,24,Celebrity,2017-03-20,2017-05-23,9.892307692307693
Simone Biles,24,Celebrity,2017-03-20,2017-05-23,15.446153846153846
Artem Chigvintsev,24,Professional,2017-03-20,2017-05-23,3.9076923076923076
Emma Slater,24,Professional,2017-03-20,2017-05-23,19.015384615384615
Gleb Savchenko,24,Professional,2017-03-20,2017-05-23,3.9846153846153847
Keo Motsepe,24,Professional,2017-03-20,2017-05-23,3.6923076923076925
Kym Herjavec,24,Professional,2017-03-20,2017-05-23,6.476923076923077
Lindsay Arnold,24,Professional,2017-03-20,2017-05-23,8.753846153846155
Maksim Chmerkoskiy,24,Professional,2017-03-20,2017-05-23,0.0
Peta Murgatroyd,24,Professional,2017-03-20,2017-05-23,7.2153846153846155
Sasha Farber,24,Professional,2017-03-20,2017-05-23,12.846153846153847
Sharna Burgess,24,Professional,2017-03-20,2017-05-23,8.646153846153846
Valentin Chmerkovskiy,24,Professional,2017-03-20,2017-05-23,9.507692307692308
Witney Carson,24,Professional,2017-03-20,2017-05-23,8.430769230769231
Barbara Corcoran,25,Celebrity,2017-09-18,2017-11-21,4.8
Debbie Gibson,25,Celebrity,2017-09-18,2017-11-21,6.338461538461538
Derek Fisher,25,Celebrity,2017-09-18,2017-11-21,7.138461538461539
Drew Scott,25,Celebrity,2017-09-18,2017-11-21,22.092307692307692
Frankie Muniz,25,Celebrity,2017-09-18,2017-11-21,8.046153846153846
Jordan Fisher,25,Celebrity,2017-09-18,2017-11-21,15.615384615384615
Lindsey Stirling,25,Celebrity,2017-09-18,2017-11-21,23.46153846153846
Nick Lachey,25,Celebrity,2017-09-18,2017-11-21,12.36923076923077
Nikki Bella,25,Celebrity,2017-09-18,2017-11-21,25.876923076923077
Sasha Pieterse,25,Celebrity,2017-09-18,2017-11-21,9.938461538461539
Terrell Owens,25,Celebrity,2017-09-18,2017-11-21,17.50769230769231
Vanessa Lachey,25,Celebrity,2017-09-18,2017-11-21,12.723076923076922
Victoria Arlen,25,Celebrity,2017-09-18,2017-11-21,9.384615384615385
Alan Bersten,25,Professional,2017-09-18,2017-11-21,5.846153846153846
Artem Chigvintsev,25,Professional,2017-09-18,2017-11-21,12.23076923076923
Cheryl Burke,25,Professional,2017-09-18,2017-11-21,15.261538461538462
Emma Slater,25,Professional,2017-09-18,2017-11-21,12.784615384615385
Gleb Savchenko,25,Professional,2017-09-18,2017-11-21,6.092307692307692
Keo Motsepe,25,Professional,2017-09-18,2017-11-21,3.6153846153846154
Lindsay Arnold,25,Professional,2017-09-18,2017-11-21,12.907692307692308
Maksim Chmerkoskiy,25,Professional,2017-09-18,2017-11-21,0.0
Mark Ballas,25,Professional,2017-09-18,2017-11-21,11.76923076923077
Peta Murgatroyd,25,Professional,2017-09-18,2017-11-21,12.830769230769231
Sharna Burgess,25,Professional,2017-09-18,2017-11-21,13.63076923076923
Valentin Chmerkovskiy,25,Professional,2017-09-18,2017-11-21,4.030769230769231
Witney Carson,25,Professional,2017-09-18,2017-11-21,9.63076923076923
Adam Rippon,26,Celebrity,2018-04-30,2018-05-21,22.772727272727273
Arike Ogunbowale,26,Celebrity,2018-04-30,2018-05-21,10.272727272727273
Chris Mazdzer,26,Celebrity,2018-04-30,2018-05-21,19.318181818181817
Jamie Anderson,26,Celebrity,2018-04-30,2018-05-21,7.7272727272727275
Jennie Finch Daigle,26,Celebrity,2018-04-30,2018-05-21,11.818181818181818
Johnny Damon,26,Celebrity,2018-04-30,2018-05-21,8.727272727272727
Josh Norman,26,Celebrity,2018-04-30,2018-05-21,18.545454545454547
Kareem Abdul-Jabbar,26,Celebrity,2018-04-30,2018-05-21,15.318181818181818
Mirai Nagasu,26,Celebrity,2018-04-30,2018-05-21,18.318181818181817
Tonya Harding,26,Celebrity,2018-04-30,2018-05-21,16.90909090909091
Alan Bersten,26,Professional,2018-04-30,2018-05-21,12.681818181818182
Artem Chigvintsev,26,Professional,2018-04-30,2018-05-21,4.545454545454546
Emma Slater,26,Professional,2018-04-30,2018-05-21,9.045454545454545
Gleb Savchenko,26,Professional,2018-04-30,2018-05-21,12.772727272727273
Jenna Johnson,26,Professional,2018-04-30,2018-05-21,15.909090909090908
Keo Motsepe,26,Professional,2018-04-30,2018-05-21,10.272727272727273
Lindsay Arnold,26,Professional,2018-04-30,2018-05-21,13.0
Sasha Farber,26,Professional,2018-04-30,2018-05-21,12.363636363636363
Sharna Burgess,26,Professional,2018-04-30,2018-05-21,18.636363636363637
Witney Carson,26,Professional,2018-04-30,2018-05-21,19.181818181818183
Alexis Ren,27,Celebrity,2018-09-24,2018-11-19,
Bobby Bones,27,Celebrity,2018-09-24,2018-11-19,17.87719298245614
Danelle Umstead,27,Celebrity,2018-09-24,2018-11-19,6.859649122807017
DeMarcus Ware,27,Celebrity,2018-09-24,2018-11-19,11.771929824561404
Evanna Lynch,27,Celebrity,2018-09-24,2018-11-19,16.666666666666668
Joe Amabile,27,Celebrity,2018-09-24,2018-11-19,16.017543859649123
John Schneider,27,Celebrity,2018-09-24,2018-11-19,8.491228070175438
Juan Pablo Di Pace,27,Celebrity,2018-09-24,2018-11-19,13.719298245614034
Mary Lou Retton,27,Celebrity,2018-09-24,2018-11-19,9.140350877192983
Milo Manheim,27,Celebrity,2018-09-24,2018-11-19,18.403508771929825
Nancy McKeon,27,Celebrity,2018-09-24,2018-11-19,7.473684210526316
Nikki Glaser,27,Celebrity,2018-09-24,2018-11-19,11.491228070175438
Tinashe,27,Celebrity,2018-09-24,2018-11-19,21.50877192982456
Alan Bersten,27,Professional,2018-09-24,2018-11-19,9.070175438596491
Artem Chigvintsev,27,Professional,2018-09-24,2018-11-19,7.649122807017544
Brandon Armstrong,27,Professional,2018-09-24,2018-11-19,6.964912280701754
Cheryl Burke,27,Professional,2018-09-24,2018-11-19,7.0701754385964914
Emma Slater,27,Professional,2018-09-24,2018-11-19,13.263157894736842
Gleb Savchenko,27,Professional,2018-09-24,2018-11-19,9.87719298245614
Jenna Johnson,27,Professional,2018-09-24,2018-11-19,14.56140350877193
Keo Motsepe,27,Professional,2018-09-24,2018-11-19,11.157894736842104
Lindsay Arnold,27,Professional,2018-09-24,2018-11-19,16.105263157894736
Sasha Farber,27,Professional,2018-09-24,2018-11-19,10.789473684210526
Sharna Burgess,27,Professional,2018-09-24,2018-11-19,22.17543859649123
Valentin Chmerkovskiy,27,Professional,2018-09-24,2018-11-19,3.8947368421052633
Witney Carson,27,Professional,2018-09-24,2018-11-19,18.736842105263158
Ally Brooke,28,Celebrity,2019-09-16,2019-11-25,15.028169014084508
Hannah Brown,28,Celebrity,2019-09-16,2019-11-25,21.619718309859156
James Van Der Beek,28,Celebrity,2019-09-16,2019-11-25,5.070422535211268
Karamo Brown,28,Celebrity,2019-09-16,2019-11-25,14.76056338028169
Kate Flannery,28,Celebrity,2019-09-16,2019-11-25,12.140845070422536
Kel Mitchell,28,Celebrity,2019-09-16,2019-11-25,11.47887323943662
Lamar Odom,28,Celebrity,2019-09-16,2019-11-25,12.295774647887324
Lauren Alaina,28,Celebrity,2019-09-16,2019-11-25,
Mary Wilson,28,Celebrity,2019-09-16,2019-11-25,5.873239436619718
Ray Lewis,28,Celebrity,2019-09-16,2019-11-25,11.464788732394366
Sailor Brinkley-Cook,28,Celebrity,2019-09-16,2019-11-25,5.211267605633803
Sean Spicer,28,Celebrity,2019-09-16,2019-11-25,10.450704225352112
Alan Bersten,28,Professional,2019-09-16,2019-11-25,12.183098591549296
Brandon Armstrong,28,Professional,2019-09-16,2019-11-25,3.084507042253521
Cheryl Burke,28,Professional,2019-09-16,2019-11-25,7.323943661971831
Emma Slater,28,Professional,2019-09-16,2019-11-25,
Gleb Savchenko,28,Professional,2019-09-16,2019-11-25,7.549295774647887
Jenna Johnson,28,Professional,2019-09-16,2019-11-25,10.845070422535212
Lindsay Arnold,28,Professional,2019-09-16,2019-11-25,5.211267605633803
Pasha Pashkov,28,Professional,2019-09-16,2019-11-25,4.647887323943662
Peta Murgatroyd,28,Professional,2019-09-16,2019-11-25,6.633802816901408
Sasha Farber,28,Professional,2019-09-16,2019-11-25,7.169014084507042
Valentin Chmerkovskiy,28,Professional,2019-09-16,2019-11-25,1.408450704225352
Witney Carson,28,Professional,2019-09-16,2019-11-25,19.253521126760564
AJ McLean,29,Celebrity,2020-09-14,2020-11-23,16.422535211267604
Anne Heche,29,Celebrity,2020-09-14,2020-11-23,8.183098591549296
Carole Baskin,29,Celebrity,2020-09-14,2020-11-23,8.816901408450704
Charles Oakley,29,Celebrity,2020-09-14,2020-11-23,4.535211267605634
Chrishell Stause,29,Celebrity,2020-09-14,2020-11-23,11.014084507042254
Jeannie Mai,29,Celebrity,2020-09-14,2020-11-23,8.28169014084507
Jesse Metcalfe,29,Celebrity,2020-09-14,2020-11-23,9.23943661971831
Johnny Weir,29,Celebrity,2020-09-14,2020-11-23,13.985915492957746
Justina Machado,29,Celebrity,2020-09-14,2020-11-23,13.352112676056338
Kaitlyn Bristowe,29,Celebrity,2020-09-14,2020-11-23,14.845070422535212
Monica Aldama,29,Celebrity,2020-09-14,2020-11-23,9.732394366197184
Nelly,29,Celebrity,2020-09-14,2020-11-23,24.760563380281692
Nev Schulman,29,Celebrity,2020-09-14,2020-11-23,17.140845070422536
Skai Jackson,29,Celebrity,2020-09-14,2020-11-23,11.408450704225352
Veron Davis,29,Celebrity,2020-09-14,2020-11-23,1.408450704225352
Alan Bersten,29,Professional,2020-09-14,2020-11-23,8.309859154929578
Artem Chigvintsev,29,Professional,2020-09-14,2020-11-23,20.6056338028169
Brandon Armstrong,29,Professional,2020-09-14,2020-11-23,8.154929577464788
Britt Stewart,29,Professional,2020-09-14,2020-11-23,6.661971830985915
Cheryl Burke,29,Professional,2020-09-14,2020-11-23,14.915492957746478
Daniella Karagach,29,Professional,2020-09-14,2020-11-23,13.23943661971831
Emma Slater,29,Professional,2020-09-14,2020-11-23,5.535211267605634
Gleb Savchenko,29,Professional,2020-09-14,2020-11-23,10.014084507042254
Jenna Johnson,29,Professional,2020-09-14,2020-11-23,11.605633802816902
Keo Motsepe,29,Professional,2020-09-14,2020-11-23,4.253521126760563
Pasha Pashkov,29,Professional,2020-09-14,2020-11-23,6.859154929577465
Peta Murgatroyd,29,Professional,2020-09-14,2020-11-23,6.661971830985915
Sasha Farber,29,Professional,2020-09-14,2020-11-23,7.816901408450704
Sharna Burgess,29,Professional,2020-09-14,2020-11-23,7.71830985915493
Valentin Chmerkovskiy,29,Professional,2020-09-14,2020-11-23,4.028169014084507
Amanda Kloots,30,Celebrity,2021-09-20,2021-11-22,11.734375
Brian Austin Green,30,Celebrity,2021-09-20,2021-11-22,9.734375
Christine Chiu,30,Celebrity,2021-09-20,2021-11-22,5.859375
Cody Rigsby,30,Celebrity,2021-09-20,2021-11-22,11.859375
Iman Shumpert,30,Celebrity,2021-09-20,2021-11-22,14.796875
Jimmie Allen,30,Celebrity,2021-09-20,2021-11-22,9.921875
JoJo Siwa,30,Celebrity,2021-09-20,2021-11-22,30.078125
Kenya Moore,30,Celebrity,2021-09-20,2021-11-22,19.953125
Martin Kove,30,Celebrity,2021-09-20,2021-11-22,4.140625
Matt James,30,Celebrity,2021-09-20,2021-11-22,20.515625
Melanie C,30,Celebrity,2021-09-20,2021-11-22,8.578125
Melora Hardin,30,Celebrity,2021-09-20,2021-11-22,14.203125
"Mike ""The Miz"" Mizanin",30,Celebrity,2021-09-20,2021-11-22,0.0
Olivia Jade,30,Celebrity,2021-09-20,2021-11-22,9.0
Suni Lee,30,Celebrity,2021-09-20,2021-11-22,17.25
Alan Bersten,30,Professional,2021-09-20,2021-11-22,12.515625
Artem Chigvintsev,30,Professional,2021-09-20,2021-11-22,14.0
Brandon Armstrong,30,Professional,2021-09-20,2021-11-22,9.40625
Britt Stewart,30,Professional,2021-09-20,2021-11-22,2.8125
Cheryl Burke,30,Professional,2021-09-20,2021-11-22,9.484375
Daniella Karagach,30,Professional,2021-09-20,2021-11-22,10.578125
Emma Slater,30,Professional,2021-09-20,2021-11-22,9.625
Gleb Savchenko,30,Professional,2021-09-20,2021-11-22,
Jenna Johnson,30,Professional,2021-09-20,2021-11-22,12.15625
Lindsay Arnold,30,Professional,2021-09-20,2021-11-22,12.765625
Pasha Pashkov,30,Professional,2021-09-20,2021-11-22,5.65625
Sasha Farber,30,Professional,2021-09-20,2021-11-22,9.171875
Sharna Burgess,30,Professional,2021-09-20,2021-11-22,8.53125
Valentin Chmerkovskiy,30,Professional,2021-09-20,2021-11-22,9.921875
Witney Carson,30,Professional,2021-09-20,2021-11-22,10.59375
Charli D'Amelio,31,Celebrity,2022-09-19,2022-11-21,44.921875
Cheryl Ladd,31,Celebrity,2022-09-19,2022-11-21,
Daniel Durant,31,Celebrity,2022-09-19,2022-11-21,16.0
Gabby Windey,31,Celebrity,2022-09-19,2022-11-21,17.28125
Heidi D'Amelio,31,Celebrity,2022-09-19,2022-11-21,17.625
Jason Lewis,31,Celebrity,2022-09-19,2022-11-21,7.15625
Jessie James Decker,31,Celebrity,2022-09-19,2022-11-21,
Jordin Sparks,31,Celebrity,2022-09-19,2022-11-21,
Joseph Baena,31,Celebrity,2022-09-19,2022-11-21,16.21875
Sam Champion,31,Celebrity,2022-09-19,2022-11-21,9.421875
Selma Blair,31,Celebrity,2022-09-19,2022-11-21,11.25
Shangela,31,Celebrity,2022-09-19,2022-11-21,24.375
Teresa Giudice,31,Celebrity,2022-09-19,2022-11-21,23.6875
Trevor Donovan,31,Celebrity,2022-09-19,2022-11-21,17.671875
Vinny Guadagnino,31,Celebrity,2022-09-19,2022-11-21,38.53125
Wayne Brady,31,Celebrity,2022-09-19,2022-11-21,25.234375
Alan Bersten,31,Professional,2022-09-19,2022-11-21,16.53125
