Name,Season,Role,Start Date,End Date,Average_Popularity_Score
Mark Cuban,5,Celebrity,2007-09-24,2007-11-27,14.276923076923078
Mel B,5,Celebrity,2007-09-24,2007-11-27,11.661538461538461
Sabrina Bryan,5,Celebrity,2007-09-24,2007-11-27,7.6461538461538465
Wayne Newton,5,Celebrity,2007-09-24,2007-11-27,4.984615384615385
Alec Mazo,5,Professional,2007-09-24,2007-11-27,3.0
Anna Trebunskaya,5,Professional,2007-09-24,2007-11-27,2.353846153846154
Cheryl Burke,5,Professional,2007-09-24,2007-11-27,16.8
Derek Hough,5,Professional,2007-09-24,2007-11-27,13.261538461538462
Edyta Sliwinska,5,Professional,2007-09-24,2007-11-27,10.723076923076922
Jonathan Roberts,5,Professional,2007-09-24,2007-11-27,3.0923076923076924
Julianne Hough,5,Professional,2007-09-24,2007-11-27,22.923076923076923
Karina Smirnoff,5,Professional,2007-09-24,2007-11-27,9.723076923076922
Kym Johnson,5,Professional,2007-09-24,2007-11-27,9.615384615384615
Maksim Chmerkoskiy,5,Professional,2007-09-24,2007-11-27,0.0
Mark Ballas,5,Professional,2007-09-24,2007-11-27,10.661538461538461
Tony Dovolani,5,Professional,2007-09-24,2007-11-27,0.0
Adam Carolla,6,Celebrity,2008-03-17,2008-05-20,24.246153846153845
Cristian de la Fuente,6,Celebrity,2008-03-17,2008-05-20,4.984615384615385
Jason Taylor,6,Celebrity,2008-03-17,2008-05-20,18.50769230769231
Kristi Yamaguchi,6,Celebrity,2008-03-17,2008-05-20,17.53846153846154
Mario,6,Celebrity,2008-03-17,2008-05-20,59.55384615384615
Marissa Jaret Winokur,6,Celebrity,2008-03-17,2008-05-20,10.584615384615384
Marlee Matlin,6,Celebrity,2008-03-17,2008-05-20,10.0
Monica Seles,6,Celebrity,2008-03-17,2008-05-20,5.138461538461539
Penn Jillette,6,Celebrity,2008-03-17,2008-05-20,4.030769230769231
Priscilla Presley,6,Celebrity,2008-03-17,2008-05-20,8.246153846153845
Shannon Elizabeth,6,Celebrity,2008-03-17,2008-05-20,18.8
Steve Guttenberg,6,Celebrity,2008-03-17,2008-05-20,5.7846153846153845
Anna Trebunskaya,6,Professional,2008-03-17,2008-05-20,2.9846153846153847
Cheryl Burke,6,Professional,2008-03-17,2008-05-20,28.692307692307693
Derek Hough,6,Professional,2008-03-17,2008-05-20,13.323076923076924
Edyta Sliwinska,6,Professional,2008-03-17,2008-05-20,20.0
Fabian Sanchez,6,Professional,2008-03-17,2008-05-20,2.953846153846154
Jonathan Roberts,6,Professional,2008-03-17,2008-05-20,2.6307692307692307
Julianne Hough,6,Professional,2008-03-17,2008-05-20,26.53846153846154
Karina Smirnoff,6,Professional,2008-03-17,2008-05-20,14.723076923076922
Kym Johnson,6,Professional,2008-03-17,2008-05-20,5.2615384615384615
Louis van Amstel,6,Professional,2008-03-17,2008-05-20,0.0
Mark Ballas,6,Professional,2008-03-17,2008-05-20,25.338461538461537
Tony Dovolani,6,Professional,2008-03-17,2008-05-20,3.1538461538461537
